id,city,json_data,collected_at
29,"Vung Tau,VN","{'dt': 1759460180, 'id': 1562414, 'cod': 200, 'sys': {'sunset': 1759488071, 'country': 'VN', 'sunrise': 1759444809}, 'base': 'stations', 'main': {'temp': 28.02, 'humidity': 71, 'pressure': 1012, 'temp_max': 28.02, 'temp_min': 28.02, 'sea_level': 1012, 'feels_like': 30.84, 'grnd_level': 1012}, 'name': 'Vũng Tàu', 'wind': {'deg': 132, 'gust': 1.75, 'speed': 1.56}, 'coord': {'lat': 10.346, 'lon': 107.0843}, 'clouds': {'all': 80}, 'weather': [{'id': 803, 'icon': '04d', 'main': 'Clouds', 'description': 'mây cụm'}], 'timezone': 25200, 'visibility': 10000}",2025-10-03 09:56:20.164622
30,"Quy Nhon,VN","{'dt': 1759459953, 'id': 1568574, 'cod': 200, 'sys': {'sunset': 1759487500, 'country': 'VN', 'sunrise': 1759444349}, 'base': 'stations', 'main': {'temp': 29.54, 'humidity': 65, 'pressure': 1012, 'temp_max': 29.54, 'temp_min': 29.54, 'sea_level': 1012, 'feels_like': 32.91, 'grnd_level': 1004}, 'name': 'Quy Nhơn', 'wind': {'deg': 19, 'gust': 2.4, 'speed': 2.41}, 'coord': {'lat': 13.7667, 'lon': 109.2333}, 'clouds': {'all': 92}, 'weather': [{'id': 804, 'icon': '04d', 'main': 'Clouds', 'description': 'mây đen u ám'}], 'timezone': 25200, 'visibility': 10000}",2025-10-03 09:56:22.483143
31,"Thu Dau Mot,VN","{'dt': 1759459986, 'id': 1565022, 'cod': 200, 'sys': {'sunset': 1759488165, 'country': 'VN', 'sunrise': 1759444923}, 'base': 'stations', 'main': {'temp': 30.21, 'humidity': 71, 'pressure': 1011, 'temp_max': 30.21, 'temp_min': 30.21, 'sea_level': 1011, 'feels_like': 35.81, 'grnd_level': 1011}, 'name': 'Thu Dau Mot', 'wind': {'deg': 186, 'gust': 2.35, 'speed': 2.12}, 'coord': {'lat': 10.9667, 'lon': 106.65}, 'clouds': {'all': 92}, 'weather': [{'id': 804, 'icon': '04d', 'main': 'Clouds', 'description': 'mây đen u ám'}], 'timezone': 25200, 'visibility': 10000}",2025-10-03 09:56:22.888338
32,"Dong Xoai,VN","{'dt': 1759460183, 'id': 1582436, 'cod': 200, 'sys': {'sunset': 1759488092, 'country': 'VN', 'sunrise': 1759444868}, 'base': 'stations', 'main': {'temp': 27.71, 'humidity': 83, 'pressure': 1012, 'temp_max': 27.71, 'temp_min': 27.71, 'sea_level': 1012, 'feels_like': 31.8, 'grnd_level': 1000}, 'name': 'Đồng Xoài', 'wind': {'deg': 209, 'gust': 1.77, 'speed': 1.35}, 'coord': {'lat': 11.5333, 'lon': 106.9167}, 'clouds': {'all': 100}, 'weather': [{'id': 804, 'icon': '04d', 'main': 'Clouds', 'description': 'mây đen u ám'}], 'timezone': 25200, 'visibility': 8262}",2025-10-03 09:56:23.256315
33,"Phan Thiet,VN","{'dt': 1759460038, 'id': 1571058, 'cod': 200, 'sys': {'sunset': 1759487818, 'country': 'VN', 'sunrise': 1759444574}, 'base': 'stations', 'main': {'temp': 29.15, 'humidity': 71, 'pressure': 1012, 'temp_max': 29.15, 'temp_min': 29.15, 'sea_level': 1012, 'feels_like': 33.25, 'grnd_level': 1005}, 'name': 'Phan Thiết', 'rain': {'1h': 0.48}, 'wind': {'deg': 154, 'gust': 1.22, 'speed': 1.37}, 'coord': {'lat': 10.9333, 'lon': 108.1}, 'clouds': {'all': 96}, 'weather': [{'id': 500, 'icon': '10d', 'main': 'Rain', 'description': 'mưa nhẹ'}], 'timezone': 25200, 'visibility': 10000}",2025-10-03 09:56:23.617635
34,"Ca Mau,VN","{'dt': 1759460165, 'id': 1586443, 'cod': 200, 'sys': {'sunset': 1759488554, 'country': 'VN', 'sunrise': 1759445254}, 'base': 'stations', 'main': {'temp': 31.34, 'humidity': 62, 'pressure': 1012, 'temp_max': 31.34, 'temp_min': 31.34, 'sea_level': 1012, 'feels_like': 36.12, 'grnd_level': 1012}, 'name': 'Ca Mau', 'wind': {'deg': 185, 'gust': 1.55, 'speed': 1.48}, 'coord': {'lat': 9.1769, 'lon': 105.15}, 'clouds': {'all': 60}, 'weather': [{'id': 803, 'icon': '04d', 'main': 'Clouds', 'description': 'mây cụm'}], 'timezone': 25200, 'visibility': 10000}",2025-10-03 09:56:24.063393
35,"Cao Bang,VN","{'dt': 1759460063, 'id': 1586185, 'cod': 200, 'sys': {'sunset': 1759488064, 'country': 'VN', 'sunrise': 1759445217}, 'base': 'stations', 'main': {'temp': 28.89, 'humidity': 66, 'pressure': 1013, 'temp_max': 28.89, 'temp_min': 28.89, 'sea_level': 1013, 'feels_like': 31.8, 'grnd_level': 962}, 'name': 'Thành Phố Cao Bằng', 'wind': {'deg': 168, 'gust': 3.09, 'speed': 1.59}, 'coord': {'lat': 22.6667, 'lon': 106.25}, 'clouds': {'all': 73}, 'weather': [{'id': 803, 'icon': '04d', 'main': 'Clouds', 'description': 'mây cụm'}], 'timezone': 25200, 'visibility': 10000}",2025-10-03 09:56:24.428812
36,"Buon Ma Thuot,VN","{'dt': 1759460070, 'id': 1586896, 'cod': 200, 'sys': {'sunset': 1759487802, 'country': 'VN', 'sunrise': 1759444615}, 'base': 'stations', 'main': {'temp': 29.3, 'humidity': 59, 'pressure': 1013, 'temp_max': 29.3, 'temp_min': 29.3, 'sea_level': 1013, 'feels_like': 31.39, 'grnd_level': 967}, 'name': 'Buôn Ma Thuột', 'wind': {'deg': 117, 'gust': 1.38, 'speed': 0.04}, 'coord': {'lat': 12.6667, 'lon': 108.05}, 'clouds': {'all': 72}, 'weather': [{'id': 803, 'icon': '04d', 'main': 'Clouds', 'description': 'mây cụm'}], 'timezone': 25200, 'visibility': 10000}",2025-10-03 09:56:24.885905
37,"Dien Bien Phu,VN","{'dt': 1759459928, 'id': 1583477, 'cod': 200, 'sys': {'sunset': 1759488862, 'country': 'VN', 'sunrise': 1759445970}, 'base': 'stations', 'main': {'temp': 30.48, 'humidity': 59, 'pressure': 1013, 'temp_max': 30.48, 'temp_min': 30.48, 'sea_level': 1013, 'feels_like': 33.55, 'grnd_level': 921}, 'name': 'Điện Biên Phủ', 'wind': {'deg': 228, 'gust': 1.13, 'speed': 0.48}, 'coord': {'lat': 21.3833, 'lon': 103.0167}, 'clouds': {'all': 51}, 'weather': [{'id': 803, 'icon': '04d', 'main': 'Clouds', 'description': 'mây cụm'}], 'timezone': 25200, 'visibility': 10000}",2025-10-03 09:57:07.605017
38,"Bien Hoa,VN","{'dt': 1759460228, 'id': 1587923, 'cod': 200, 'sys': {'sunset': 1759488126, 'country': 'VN', 'sunrise': 1759444883}, 'base': 'stations', 'main': {'temp': 30.34, 'humidity': 70, 'pressure': 1012, 'temp_max': 30.34, 'temp_min': 30.34, 'sea_level': 1012, 'feels_like': 35.88, 'grnd_level': 1010}, 'name': 'Bien Hoa', 'wind': {'deg': 183, 'gust': 2.24, 'speed': 1.91}, 'coord': {'lat': 10.95, 'lon': 106.8167}, 'clouds': {'all': 96}, 'weather': [{'id': 804, 'icon': '04d', 'main': 'Clouds', 'description': 'mây đen u ám'}], 'timezone': 25200, 'visibility': 10000}",2025-10-03 09:57:07.923172
